offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id,segment_behaviour,offer_type,supplier_discount
20240701_SPO_pratosrefeicoes_control_NB_frango_W27,pratosrefeicoes_control_NB_frango,1,true,01-01-2028,02-01-2028,1,1,778580,284509#646447#569233#575574#284517#396273#450359#221189,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_aguaseisotonicos_W27,pratosrefeicoes_control_NB_aguaseisotonicos,1,true,01-01-2028,02-01-2028,1,1,778994,277866#597183,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_carnevermelha_W27,pratosrefeicoes_control_NB_carnevermelha,1,true,01-01-2028,02-01-2028,1,1,778998,197853#553870#553866#649293#382171#649597,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_massasemolhos_W27,lanches_piloto_NB_massasemolhos,8,true,01-07-2024,31-07-2024,0,1,778795,108497#647187#458839#173891#633625#108411#637244#409934#647291#628506#620609#108420#108429,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_detergentesabaoelava-louas_W27,lanches_piloto_NB_detergentesabaoelava-louas,8,true,01-07-2024,31-07-2024,0,1,778782,511038#518364#261188#160747#510797#630359,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_temperos_W27,lanches_piloto_NB_temperos,8,true,01-07-2024,31-07-2024,0,1,778805,107187#107178#108290#577339#640543#638093#640539#639489,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_arroz_W27,lanches_piloto_NB_arroz,4,true,01-07-2024,31-07-2024,0,1,778772,153089#296389#255295#648297#652539,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_azeitesoleosevinagres_W27,lanches_piloto_NB_azeitesoleosevinagres,5,true,01-07-2024,31-07-2024,0,1,778773,384239#93574#122218#131720#123397#173909#122612#623157#278407,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_cafechocolateseinfusoes_W27,lanches_piloto_NB_cafechocolateseinfusoes,8,true,01-07-2024,31-07-2024,0,1,778774,235489#278348#621289#625275#235492#571536#501927#625257#625269,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_condimentos_W27,lanches_piloto_NB_condimentos,8,true,01-07-2024,31-07-2024,0,1,778776,141889#631989#141931#592711#141935#141925#141933#615291#633119#141916#141928#614935#278425#141892#633621#141904,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_destilados_W27,lanches_piloto_NB_destilados,6,true,01-07-2024,31-07-2024,0,1,778780,576218#572851#576210#590839,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_embutidos_W27,lanches_piloto_NB_embutidos,5,true,01-07-2024,31-07-2024,0,1,778785,165988#165678#586807#511889#180640#165346#417765,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_docesesobremesas_W27,lanches_piloto_NB_docesesobremesas,8,true,01-07-2024,31-07-2024,0,1,778783,209377#209373#644668#173913#644680#645189,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_embalagens_W27,lanches_piloto_NB_embalagens,8,true,01-07-2024,31-07-2024,0,1,778784,648549,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_papeis_W27,lanches_piloto_NB_papeis,8,true,01-07-2024,31-07-2024,0,1,778798,240505#426339#366139#648741#418958,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_queijos_W27,lanches_piloto_NB_queijos,7,true,01-07-2024,31-07-2024,0,1,778801,588033#648905#526878#606541#361775#243655#647815#361771,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_refrigeranteseenergeticos_W27,lanches_piloto_NB_refrigeranteseenergeticos,7,true,01-07-2024,31-07-2024,0,1,778802,483012#277873#363754#363763#397295#452047#452043#453302,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_manteigasemargarinas_W27,lanches_piloto_NB_manteigasemargarinas,8,true,01-07-2024,31-07-2024,0,1,778794,217683#217679#217687#225209#209340,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_polpaseaai_W27,lanches_piloto_NB_polpaseaai,8,true,01-07-2024,31-07-2024,0,1,778800,512674#512666#512679#512660#512654,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_desengordurantes_W27,lanches_piloto_NB_desengordurantes,8,true,01-07-2024,31-07-2024,0,1,778779,240404,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_peixesefrutosdomar_W27,lanches_piloto_NB_peixesefrutosdomar,8,true,01-07-2024,31-07-2024,0,1,778799,647369#575792#165406,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_lanches_piloto_NB_cervejas_W27,lanches_piloto_NB_cervejas,4,true,01-07-2024,31-07-2024,0,1,778777,363775#284046#277871#580894#363789#364851#643321,INCLUDED,SUPER_DISCOUNT,0
