20220422_CMX_NB_verduras_W16,20220422_CMX_NB_frutas_W16,20220422_CMX_NB_tuberculos_W16
127337186.0,73630339.0,125436800.0
41747176.0,49021580.0,21037953.0
81593067.0,54788749.0,135070598.0
132874991.0,52691597.0,89981835.0
-261391.0,15336081.0,140379020.0
103088881.0,134808209.0,129172365.0
60523255.0,146014867.0,-261233.0
18612984.0,35455634.0,123863952.0
17171194.0,94339730.0,63308691.0
-261381.0,123830932.0,20054942.0
51217151.0,129204884.0,102630302.0
89129729.0,-261478.0,55837599.0
51774212.0,136086172.0,44696480.0
134677253.0,54035105.0,41616288.0
35848971.0,74711715.0,80675750.0
76776212.0,127337126.0,-261209.0
140051221.0,118457005.0,17171368.0
41157398.0,122454702.0,76874663.0
118620958.0,67371695.0,74318762.0
19071778.0,19661490.0,53281715.0
-261337.0,116851381.0,-261193.0
126845741.0,145490619.0,66585527.0
113509167.0,107479740.0,109511609.0
60654387.0,54887099.0,58983355.0
126747444.0,104432324.0,120193982.0
50987833.0,55018188.0,56165311.0
114262845.0,20841166.0,63964096.0
83460926.0,84116177.0,-261181.0
55837504.0,73106130.0,120914887.0
20939585.0,23724756.0,61670344.0
109478722.0,58720984.0,100664265.0
136020803.0,112329434.0,-261160.0
53019461.0,-261412.0,-261159.0
17236810.0,127337186.0,-261155.0
22119242.0,41747176.0,69600221.0
-261295.0,81593067.0,132121569.0
129041255.0,40764141.0,138609635.0
30376808.0,132874991.0,15205351.0
67797869.0,-261391.0,48366568.0
71107437.0,103088881.0,49021940.0
51676019.0,136250099.0,118490101.0
48006004.0,17171194.0,-261120.0
125436800.0,-261381.0,75236356.0
135070598.0,51217151.0,109511687.0
89981835.0,89129729.0,141689878.0
140379020.0,20415235.0,63636506.0
129172365.0,51774212.0,49021980.0
-261233.0,15827719.0,114164769.0
123863952.0,56623881.0,52560932.0
73499535.0,35848971.0,134022180.0
44696480.0,76776212.0,32506926.0
41616288.0,140051221.0,51577904.0
