20220420_CWB_NB_queijos_W16,20220420_CWB_NB_arroz_W16,20220420_CWB_NB_aucaradoantesedoces_W16,20220420_CWB_NB_farinhasemisturas_W16
110495203.0,134452929.0,124319429.0,130917967.0
135251428.0,138737347.0,109840071.0,134104660.0
124417509.0,117991109.0,121136839.0,138540631.0
112977382.0,124319429.0,127149770.0,134526552.0
138679786.0,109840071.0,135222993.0,143521370.0
143574507.0,121136839.0,140273364.0,140236381.0
130893297.0,127149770.0,110491360.0,122644071.0
145352179.0,135222993.0,115607268.0,145864304.0
131429877.0,121226972.0,134498030.0,128484978.0
139290102.0,110491360.0,115558128.0,139093622.0
121226748.0,116643563.0,145999601.0,120673915.0
115336703.0,134498030.0,142214907.0,110515836.0
132625921.0,115558128.0,141768449.0,135190144.0
109323778.0,139192051.0,112236290.0,109848195.0
118560258.0,142214907.0,125388547.0,138679939.0
116069891.0,141768449.0,138487555.0,110511749.0
127784454.0,112236290.0,115357443.0,111867534.0
145282567.0,138487555.0,130369288.0,146036368.0
142186005.0,139208451.0,116029189.0,136246929.0
119789079.0,143083267.0,118466322.0,134022803.0
138110488.0,115357443.0,121927442.0,127985304.0
133105180.0,130369288.0,125351698.0,139282074.0
128960029.0,116029189.0,141621010.0,121722527.0
141858336.0,118466322.0,113624854.0,139093664.0
132711972.0,121927442.0,139347737.0,127198882.0
138077732.0,125351698.0,125359897.0,117462694.0
109880871.0,141621010.0,112224027.0,138438311.0
138057262.0,113624854.0,117233434.0,144307886.0
135939633.0,139347737.0,139282205.0,134579889.0
127211071.0,125359897.0,118495003.0,145217212.0
138659395.0,112224027.0,138630940.0,134452929.0
121849413.0,117233434.0,127375137.0,138737347.0
130917967.0,139282205.0,126732066.0,117991109.0
135263824.0,118495003.0,141825825.0,124319429.0
134104660.0,127375137.0,116340519.0,109840071.0
138540631.0,141825825.0,110380840.0,121136839.0
134526552.0,116340519.0,132646700.0,127149770.0
143521370.0,110380840.0,123746096.0,135222993.0
140236381.0,132646700.0,139200308.0,140273364.0
122644071.0,139200308.0,50562870.0,121226972.0
128370283.0,50562870.0,136726326.0,110491360.0
145864304.0,136726326.0,117524281.0,116643563.0
128484978.0,117524281.0,134735676.0,134498030.0
139093622.0,133998394.0,145434429.0,115558128.0
120673915.0,115386172.0,110974782.0,145999601.0
110515836.0,134735676.0,139810625.0,139192051.0
135190144.0,143623996.0,127805251.0,142214907.0
138065537.0,145434429.0,127354692.0,112236290.0
109848195.0,110974782.0,123184965.0,138487555.0
138679939.0,139810625.0,142255941.0,139208451.0
110511749.0,127805251.0,126621509.0,143083267.0
128538249.0,127354692.0,141776713.0,115357443.0
111867534.0,123184965.0,117364561.0,130369288.0
136046223.0,142255941.0,127436631.0,116029189.0
146036368.0,126621509.0,145139543.0,118466322.0
136246929.0,127436631.0,141608793.0,121927442.0
134022803.0,145139543.0,135923546.0,125351698.0
127985304.0,141608793.0,115533662.0,141621010.0
139282074.0,135923546.0,130352991.0,113624854.0
121722527.0,115533662.0,120715102.0,139347737.0
139093664.0,130352991.0,111753056.0,125359897.0
127198882.0,120715102.0,123230049.0,112224027.0
117462694.0,111753056.0,127199077.0,117233434.0
144307886.0,123230049.0,128595818.0,139282205.0
134579889.0,127199077.0,117438322.0,118495003.0
114144950.0,128595818.0,124778354.0,138630940.0
138659511.0,117438322.0,112383859.0,127375137.0
134592185.0,112383859.0,131528563.0,126732066.0
145217212.0,131528563.0,125519736.0,141825825.0
134452929.0,125519736.0,139683704.0,116340519.0
138737347.0,139683704.0,142432120.0,110380840.0
117991109.0,142432120.0,112363392.0,132646700.0
124319429.0,140347262.0,123582337.0,123746096.0
