20220325_CWB_NB_tuberculos_W12,20220325_CWB_NB_verduras_W12,20220325_CWB_NB_frutas_W12,20220325_CWB_NB_legumes_W12,20220325_CWB_NB_leite_W12,20220325_CWB_NB_ovos_W12,20220325_CWB_NB_detergentesabaoelava-louas_W12,20220325_CWB_NB_feijao_W12
113994548.0,124992221.0,121832771.0,117259097.0,109841138.0,121164305.0,109255323.0,114045741.0
116392758.0,117406431.0,131525955.0,116005724.0,115340022.0,109267474.0,117807772.0,127200045.0
111758140.0,109841138.0,127805251.0,125037411.0,117299963.0,112347668.0,116624029.0,127376173.0
118465352.0,115340022.0,114077508.0,127199077.0,125516547.0,112804380.0,117842592.0,129479476.0
123806536.0,117299963.0,123184965.0,110537574.0,124793608.0,127810082.0,118536868.0,116392758.0
124963671.0,125516547.0,116377929.0,116663145.0,124230409.0,117938723.0,112317093.0,128600887.0
113077081.0,111735559.0,127354692.0,117817194.0,124334857.0,120758820.0,121363108.0,123630394.0
116005724.0,124793608.0,118374218.0,117915499.0,112407307.0,123193894.0,123695792.0,111758140.0
131441504.0,124230409.0,126812496.0,125423466.0,110535436.0,121807400.0,112927409.0,118471486.0
129098593.0,112407307.0,125353296.0,109868397.0,115411725.0,124338729.0,115496957.0,116577088.0
116134754.0,115411725.0,130241874.0,110354798.0,114125583.0,117367338.0,116087483.0,123177798.0
125037411.0,114125583.0,113077081.0,124210543.0,126638889.0,117928493.0,113398462.0,118465352.0
110537574.0,124224284.0,116005724.0,130432879.0,114045741.0,115368494.0,111639237.0,123806536.0
116663145.0,127965988.0,131441504.0,124255603.0,127200045.0,110484015.0,110371528.0,117306186.0
120845174.0,114045741.0,125037411.0,129101686.0,127376173.0,117246511.0,118557388.0,124963671.0
124330874.0,127200045.0,110537574.0,110505848.0,125469491.0,110567986.0,128525004.0,113077081.0
115512194.0,127376173.0,125423466.0,127310201.0,113994548.0,123157044.0,115473103.0,117259097.0
117306247.0,125469491.0,117915499.0,128398713.0,129479476.0,116474423.0,126761679.0,116005724.0
124779407.0,113994548.0,109868397.0,109828475.0,116392758.0,123660855.0,128352978.0,131441504.0
117797777.0,116392758.0,121147247.0,127963007.0,116716343.0,132252217.0,113023700.0,129098593.0
129112977.0,116716343.0,130432879.0,131410304.0,124363574.0,130734658.0,121854679.0,116134754.0
116345755.0,124363574.0,120845174.0,115512194.0,123630394.0,111827523.0,116107996.0,125037411.0
117246889.0,128600887.0,110505848.0,126650246.0,111758140.0,110367300.0,117406431.0,110537574.0
109822890.0,123630394.0,127310201.0,127944583.0,118471486.0,131111497.0,109841138.0,127374185.0
115995572.0,111758140.0,124330874.0,109823370.0,123177798.0,116343370.0,115340022.0,120845174.0
116081588.0,118471486.0,109828475.0,123146638.0,118465352.0,117529165.0,117299963.0,124939135.0
111629238.0,123806536.0,128398713.0,113043854.0,123806536.0,124346961.0,125516547.0,116726671.0
128988085.0,110381907.0,127963007.0,123097495.0,110381907.0,115589722.0,111735559.0,125451152.0
132006837.0,124963671.0,131410304.0,109317532.0,113077081.0,117439070.0,124230409.0,117797777.0
128553924.0,113077081.0,115512194.0,109306277.0,116005724.0,113404514.0,124334857.0,129112977.0
123151317.0,117259097.0,127329162.0,112376232.0,115510110.0,124379747.0,112407307.0,117246889.0
118428631.0,116005724.0,109823370.0,117246889.0,131441504.0,114143852.0,115411725.0,109822890.0
111764450.0,115526496.0,113043854.0,109822890.0,125037411.0,112376431.0,124224284.0,123089837.0
123784163.0,129098593.0,120619407.0,128415663.0,110537574.0,111714928.0,110572318.0,115995572.0
124359652.0,131441504.0,115487120.0,115995572.0,121230182.0,117277300.0,126638889.0,128988085.0
118436845.0,125037411.0,127923604.0,128988085.0,116663145.0,123732596.0,114045741.0,111629238.0
109847539.0,110537574.0,116345755.0,132006837.0,123138927.0,124412541.0,127200045.0,132006837.0
116020219.0,116663145.0,127377820.0,115528634.0,121809787.0,112323200.0,127376173.0,127939513.0
128386048.0,120845174.0,109317532.0,117319102.0,120707964.0,124971649.0,125469491.0,128553924.0
112358404.0,124330874.0,109306277.0,114166207.0,115512194.0,116114050.0,129479476.0,123151317.0
110457863.0,121809787.0,112376232.0,127911874.0,117306247.0,115561090.0,116392758.0,118428631.0
121754631.0,124939135.0,117246889.0,109266883.0,116726671.0,124828296.0,116716343.0,111764450.0
115385356.0,115512194.0,109822890.0,128553924.0,125451152.0,127197833.0,124363574.0,124359652.0
117414935.0,117306247.0,128415663.0,123717573.0,129112977.0,116042380.0,128600887.0,118436845.0
121771035.0,127329162.0,115995572.0,128374725.0,116345755.0,121838224.0,123630394.0,109847539.0
125623335.0,124779407.0,116081588.0,123657159.0,110476193.0,109255323.0,111758140.0,116020219.0
123618344.0,125451152.0,130387384.0,128560585.0,109822890.0,117807772.0,118471486.0,117791743.0
111791145.0,117797777.0,115528634.0,112880074.0,115995572.0,116624029.0,123177798.0,127288322.0
115575850.0,129112977.0,117319102.0,128965077.0,116081588.0,116822686.0,118465352.0,112358404.0
125436977.0,117246889.0,114166207.0,112282078.0,128988085.0,117842592.0,123806536.0,121754631.0
118027317.0,109822890.0,127911874.0,116117986.0,132006837.0,118536868.0,117306186.0,115385356.0
127153205.0,115995572.0,109266883.0,115451876.0,127939513.0,112317093.0,127318865.0,129057813.0
117601338.0,116081588.0,117245381.0,112977382.0,115528634.0,121363108.0,110381907.0,125623335.0
124755002.0,111629238.0,123717573.0,118436845.0,128553924.0,123695792.0,113077081.0,123618344.0
123147324.0,128988085.0,123657159.0,109847539.0,123657159.0,112927409.0,116005724.0,115575850.0
119006271.0,132006837.0,128374725.0,118409721.0,123151317.0,110570168.0,115510110.0,125436977.0
111625287.0,127939513.0,112880074.0,131426301.0,118428631.0,116087483.0,115526496.0,118027317.0
117404746.0,115528634.0,124250061.0,117791743.0,118436845.0,111796925.0,129098593.0,126819385.0
115391562.0,128553924.0,110353876.0,,127996911.0,113398462.0,116083554.0,117601338.0
112815179.0,123657159.0,128965077.0,,109847539.0,111639237.0,125037411.0,124755002.0
113396816.0,114179019.0,118428631.0,,121164787.0,118557388.0,131441504.0,123147324.0
118371410.0,127917003.0,112282078.0,,117320704.0,128525004.0,110537574.0,119006271.0
113673300.0,123151317.0,116117986.0,,127288322.0,115473103.0,121230182.0,112862273.0
116259926.0,118428631.0,112977382.0,,112358404.0,126761679.0,116663145.0,109816902.0
121119830.0,124359652.0,125353447.0,,110457863.0,121707218.0,123138927.0,111625287.0
123182166.0,118436845.0,116551655.0,,115385356.0,128352978.0,124330874.0,115391562.0
125480031.0,127996911.0,128027115.0,,112331792.0,113023700.0,121809787.0,112815179.0
127937631.0,109847539.0,118436845.0,,120710165.0,121854679.0,120707964.0,113396816.0
117965922.0,116020219.0,109847539.0,,117414935.0,124992221.0,124939135.0,118371410.0
125490275.0,117791743.0,118409721.0,,121771035.0,117406431.0,115512194.0,113673300.0
109892709.0,128386048.0,116020219.0,,111791145.0,112339682.0,116726671.0,121119830.0
123173996.0,112358404.0,110460412.0,,115575850.0,109841138.0,125451152.0,123182166.0
117951597.0,110457863.0,115496957.0,,125436977.0,115340022.0,117797777.0,125480031.0
109290609.0,121754631.0,115336703.0,,117601338.0,117299963.0,129112977.0,123112544.0
131982459.0,115385356.0,,,119006271.0,116663040.0,117246889.0,123716705.0
115405960.0,120710165.0,,,112862273.0,125516547.0,109822890.0,117965922.0
110455953.0,121771035.0,,,116055109.0,111735559.0,115995572.0,127937631.0
116032673.0,116657184.0,,,109816902.0,124793608.0,116081588.0,109892709.0
117474472.0,125623335.0,,,111625287.0,124230409.0,111629238.0,117820517.0
118488235.0,115575850.0,,,115391562.0,124334857.0,128988085.0,123173996.0
127210672.0,125436977.0,,,112815179.0,112407307.0,132006837.0,117951597.0
124253363.0,118027317.0,,,113396816.0,110535436.0,127939513.0,109290609.0
126708937.0,127153205.0,,,113673300.0,115411725.0,115467200.0,131982459.0
116100298.0,106748982.0,,,127290452.0,114125583.0,128553924.0,115405960.0
115340492.0,126819385.0,,,121119830.0,124224284.0,123657159.0,116032673.0
117902546.0,117601338.0,,,123182166.0,110572318.0,114179019.0,117474472.0
117982422.0,124755002.0,,,125480031.0,127965988.0,127917003.0,118488235.0
117996759.0,123147324.0,,,123716705.0,114045741.0,123151317.0,127210672.0
110513375.0,119006271.0,,,117965922.0,127200045.0,118428631.0,124253363.0
111762656.0,111625287.0,,,109892709.0,127376173.0,123784163.0,123116727.0
132150502.0,117404746.0,,,123173996.0,131426301.0,124359652.0,117402808.0
120636649.0,115391562.0,,,117951597.0,125469491.0,118436845.0,117255355.0
125598958.0,112815179.0,,,109290609.0,113994548.0,127996911.0,115340492.0
131011826.0,113396816.0,,,120689777.0,129479476.0,109847539.0,117902546.0
124421364.0,118371410.0,,,123753595.0,116392758.0,121164787.0,117996759.0
118465783.0,113673300.0,,,131982459.0,124363574.0,116020219.0,127802587.0
110482682.0,121119830.0,,,115405960.0,128600887.0,117791743.0,110513375.0
121748733.0,125480031.0,,,114162828.0,123630394.0,117320704.0,111762656.0
115463439.0,123112544.0,,,115524760.0,111758140.0,128386048.0,121277670.0
118492437.0,127937631.0,,,127161497.0,118471486.0,112358404.0,132150502.0
113050902.0,117965922.0,,,128973983.0,123171647.0,110457863.0,120636649.0
117267734.0,125490275.0,,,116032673.0,116577088.0,115385356.0,125598958.0
112799011.0,109892709.0,,,117474472.0,118465352.0,129057813.0,124421364.0
110513450.0,117820517.0,,,118488235.0,123806536.0,121771035.0,118465783.0
124241209.0,123173996.0,,,127210672.0,127318865.0,116079645.0,110482682.0
124376377.0,117951597.0,,,124253363.0,110381907.0,125623335.0,121748733.0
121832771.0,109290609.0,,,123116727.0,124963671.0,115575850.0,121736445.0
125373764.0,120689777.0,,,123708602.0,113077081.0,118027317.0,127907073.0
131525955.0,123753595.0,,,117255355.0,117259097.0,127153205.0,111619334.0
125353296.0,131982459.0,,,125584575.0,116005724.0,117601338.0,115463439.0
130241874.0,123200650.0,,,115432644.0,115510110.0,119006271.0,109821203.0
121314654.0,114162828.0,,,125351108.0,115526496.0,116055109.0,118492437.0
127221093.0,115524760.0,,,117902546.0,129098593.0,109816902.0,113050902.0
109868397.0,127161497.0,,,117982422.0,125037411.0,111625287.0,112799011.0
124210543.0,116032673.0,,,117996759.0,131441504.0,115391562.0,125443369.0
124255603.0,117474472.0,,,116554971.0,110537574.0,112815179.0,124376377.0
124317045.0,121160873.0,,,127802587.0,127374185.0,113396816.0,123198785.0
128398713.0,118488235.0,,,110513375.0,116663145.0,118371410.0,121832771.0
109823370.0,127210672.0,,,111762656.0,123138927.0,113673300.0,125373764.0
127923604.0,124253363.0,,,121277670.0,120845174.0,127290452.0,131525955.0
124880282.0,123116727.0,,,132150502.0,124330874.0,116259926.0,130241874.0
109317532.0,123708602.0,,,123700462.0,121809787.0,111627353.0,128488799.0
117319102.0,117255355.0,,,131011826.0,120707964.0,125480031.0,127221093.0
128560585.0,125351108.0,,,124421364.0,124939135.0,123112544.0,109868397.0
