20220407_MDE_NB_bebidassinalcohol_W14,20220407_MDE_NB_vasos_W14,20220407_MDE_NB_cubiertosypitillos_W14,20220407_MDE_NB_contenedores_W14,20220407_MDE_NB_platosybandejas_W14,20220407_MDE_NB_empaqueyenvoltura_W14,20220407_MDE_NB_verduras_W14,20220407_MDE_NB_frutas_W14,20220407_MDE_NB_tuberculos_W14,20220407_MDE_NB_huevos_W14,20220407_MDE_NB_leches_W14,20220407_MDE_NB_cremas_W14,20220407_MDE_NB_derivadoslacteos_W14
120127828.0,127922454.0,129577415.0,118018591.0,125530547.0,129577415.0,138549886.0,118018520.0,132108771.0,132733343.0,120238582.0,125538755.0,118911410.0
130894165.0,120795415.0,120648136.0,119779872.0,125538755.0,120648136.0,122346113.0,138619354.0,132196843.0,133147042.0,128619005.0,129577415.0,125530547.0
120179031.0,120762648.0,120574411.0,120230445.0,129577415.0,120574411.0,128395908.0,130986462.0,120117748.0,136769956.0,137159166.0,120648136.0,126673336.0
124475735.0,133560598.0,120689099.0,123793971.0,120648136.0,120689099.0,125399684.0,119687649.0,120238582.0,121921959.0,132325887.0,120574411.0,125538755.0
120760665.0,122312984.0,118391249.0,130765364.0,120574411.0,118391249.0,137159303.0,132108771.0,118946300.0,125895079.0,124432894.0,120689099.0,129577415.0
126042462.0,127822107.0,138576339.0,124428853.0,120689099.0,138576339.0,118901390.0,124418531.0,128619005.0,118026665.0,118018561.0,118391249.0,120648136.0
137150822.0,133986586.0,118018520.0,137085493.0,118391249.0,118018520.0,136659599.0,132196843.0,137159166.0,123808173.0,118399491.0,138576339.0,120574411.0
135248231.0,124856608.0,130986462.0,125030966.0,138576339.0,132108771.0,126360208.0,120117748.0,132325887.0,127252912.0,119656964.0,118018520.0,120689099.0
135973230.0,126791970.0,132108771.0,139158072.0,118018520.0,120238582.0,136604306.0,120238582.0,118399491.0,118036913.0,133251600.0,130986462.0,118391249.0
118899059.0,129521954.0,120238582.0,128971319.0,130986462.0,128619005.0,123794074.0,118946300.0,119656964.0,125393330.0,129479185.0,132108771.0,138576339.0
