20220420_SPO_NB_frango_W16,20220420_SPO_NB_suinos_W16,20220420_SPO_NB_embutidos_W16,20220420_SPO_NB_carnevermelha_W16,20220420_SPO_NB_peixesefrutosdomar_W16
123184656.0,100402658.0,146175487.0,140264888.0,141731221.0
145876497.0,145987053.0,143046145.0,141710779.0,143119768.0
139990546.0,67810800.0,143631876.0,145307068.0,142939545.0
134583828.0,126948851.0,142214668.0,139245004.0,139314591.0
131024405.0,37455351.0,143013390.0,144729548.0,140350886.0
63768091.0,141919739.0,123184656.0,143906269.0,143009190.0
143123996.0,143570428.0,145876497.0,142972382.0,123274666.0
146019868.0,146175487.0,139990546.0,100402658.0,142427567.0
141620778.0,143046145.0,134583828.0,145987053.0,133518770.0
139843118.0,143631876.0,131024405.0,67810800.0,140264888.0
145409583.0,142214668.0,139785750.0,126948851.0,141710779.0
143918643.0,143013390.0,63768091.0,37455351.0,145307068.0
133547577.0,123184656.0,143123996.0,141919739.0,139245004.0
144012857.0,145876497.0,146019868.0,143570428.0,144729548.0
143042107.0,139990546.0,139843118.0,146175487.0,143906269.0
140273213.0,134583828.0,143918643.0,143046145.0,142972382.0
119567933.0,131024405.0,133547577.0,143631876.0,100402658.0
146032190.0,139785750.0,144012857.0,142214668.0,145987053.0
120968768.0,63768091.0,143042107.0,143013390.0,67810800.0
141694540.0,143123996.0,140273213.0,123184656.0,126948851.0
142452303.0,146019868.0,119567933.0,145876497.0,37455351.0
145274450.0,141620778.0,146032190.0,139990546.0,141919739.0
139257433.0,139843118.0,120968768.0,134583828.0,143570428.0
145184360.0,145409583.0,142390855.0,131024405.0,146175487.0
111711852.0,143918643.0,141694540.0,139785750.0,143046145.0
141624943.0,133547577.0,142452303.0,63768091.0,143631876.0
143062645.0,144012857.0,145274450.0,143123996.0,142214668.0
143074939.0,143042107.0,139257433.0,141620778.0,143013390.0
142210684.0,140273213.0,145184360.0,139843118.0,123184656.0
141670018.0,119567933.0,111711852.0,145409583.0,145876497.0
120505989.0,146032190.0,141624943.0,143918643.0,139990546.0
143160969.0,120968768.0,143062645.0,133547577.0,134583828.0
142231189.0,142390855.0,143074939.0,144012857.0,131024405.0
136738457.0,141694540.0,142210684.0,143042107.0,139785750.0
139785883.0,142452303.0,141670018.0,140273213.0,63768091.0
146007711.0,145274450.0,120505989.0,119567933.0,143123996.0
141620897.0,139257433.0,143160969.0,146032190.0,146019868.0
142190243.0,145184360.0,142231189.0,120968768.0,128448041.0
139728549.0,111711852.0,136738457.0,142390855.0,141620778.0
59008684.0,141624943.0,139785883.0,141694540.0,139843118.0
139081388.0,143062645.0,146007711.0,142452303.0,145409583.0
130340530.0,143074939.0,141620897.0,145274450.0,143918643.0
143124149.0,142210684.0,142190243.0,139257433.0,133547577.0
143836855.0,141670018.0,139728549.0,145184360.0,144012857.0
46544572.0,120505989.0,59008684.0,111711852.0,143042107.0
139105988.0,143160969.0,139081388.0,141624943.0,140273213.0
146101956.0,142231189.0,130340530.0,143062645.0,119567933.0
142280393.0,136738457.0,143124149.0,143074939.0,146032190.0
143570634.0,139785883.0,143836855.0,142210684.0,120968768.0
145880781.0,146007711.0,46544572.0,141670018.0,142390855.0
139765454.0,141620897.0,139105988.0,120505989.0,141694540.0
133228238.0,142190243.0,146101956.0,143160969.0,142452303.0
143574739.0,139728549.0,142280393.0,142231189.0,145274450.0
140330711.0,59008684.0,143570634.0,136738457.0,139257433.0
142427866.0,139081388.0,145880781.0,139785883.0,145184360.0
146077407.0,130340530.0,139765454.0,146007711.0,111711852.0
143681248.0,143124149.0,133228238.0,141620897.0,141624943.0
142501603.0,143836855.0,143574739.0,142190243.0,143074939.0
141190884.0,46544572.0,140330711.0,139728549.0,142210684.0
48355047.0,139105988.0,142427866.0,59008684.0,141670018.0
43701993.0,146101956.0,146077407.0,139081388.0,120505989.0
142391017.0,142280393.0,143681248.0,130340530.0,143160969.0
143910634.0,143570634.0,141190884.0,143124149.0,142231189.0
143062767.0,145880781.0,142194407.0,143836855.0,136738457.0
145221361.0,139765454.0,48355047.0,46544572.0,139785883.0
143574774.0,143574739.0,43701993.0,139105988.0,146007711.0
143017719.0,140330711.0,142391017.0,146101956.0,141620897.0
143996664.0,142427866.0,143910634.0,142280393.0,142190243.0
141330173.0,146077407.0,143062767.0,143570634.0,139728549.0
143562501.0,143681248.0,145221361.0,145880781.0,59008684.0
146061062.0,142501603.0,143574774.0,139765454.0,139081388.0
145090317.0,141190884.0,143017719.0,133228238.0,130340530.0
142219024.0,142194407.0,141330173.0,143574739.0,143124149.0
143218453.0,48355047.0,143562501.0,140330711.0,143836855.0
139892505.0,142391017.0,146061062.0,23066329.0,46544572.0
142231323.0,143910634.0,145090317.0,142427866.0,139105988.0
145889055.0,143062767.0,142219024.0,146077407.0,146101956.0
94504740.0,145221361.0,143218453.0,143681248.0,142280393.0
141801253.0,143574774.0,139892505.0,142501603.0,143570634.0
139917105.0,143017719.0,142231323.0,141190884.0,145880781.0
139777850.0,141330173.0,145889055.0,142194407.0,139765454.0
143603516.0,143562501.0,141801253.0,48355047.0,133228238.0
142346052.0,146061062.0,139917105.0,43701993.0,143574739.0
136451908.0,145090317.0,143603516.0,142391017.0,140330711.0
141637455.0,142219024.0,47687488.0,143910634.0,23066329.0
140470096.0,143218453.0,142346052.0,143062767.0,142427866.0
145164118.0,139892505.0,136451908.0,145221361.0,146077407.0
139728733.0,142231323.0,141637455.0,143574774.0,143681248.0
142235497.0,145889055.0,140470096.0,143017719.0,142501603.0
145336178.0,94504740.0,145164118.0,141330173.0,141190884.0
140285811.0,141801253.0,139728733.0,143562501.0,142194407.0
134584185.0,139917105.0,146057057.0,146061062.0,48355047.0
143595386.0,139777850.0,142235497.0,145090317.0,43701993.0
145135487.0,143603516.0,143578991.0,142219024.0,142391017.0
